planning_area,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over
Ang Mo Kio,3667.5,4240.0,4477.5,4941.25,5498.75,6362.5,6385.0,6685.0,6831.25,7022.5,6803.75,6157.5,5636.25,4516.25,3328.75,2158.75,1383.75,1035.0
Bedok,6368.75,7608.75,8268.75,8853.75,9492.5,10268.75,10025.0,10823.75,11380.0,11501.25,11138.75,9923.75,8877.5,6812.5,4953.75,3168.75,2090.0,1726.25
Bishan,1933.75,2628.75,2690.0,2867.5,2978.75,3251.25,3040.0,3423.75,3697.5,3688.75,3515.0,3110.0,2695.0,1991.25,1391.25,908.75,602.5,505.0
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,3726.25,4077.5,4532.5,4693.75,4798.75,5525.0,5763.75,5781.25,5915.0,5831.25,5433.75,4733.75,3816.25,2633.75,1642.5,993.75,632.5,500.0
Bukit Merah,3491.25,3603.75,3448.75,3540.0,4065.0,5281.25,5892.5,6140.0,6102.5,5863.75,5708.75,5243.75,5123.75,4287.5,3460.0,2411.25,1598.75,1337.5
Bukit Panjang,3545.0,3965.0,4193.75,4270.0,4421.25,4840.0,4928.75,5255.0,5107.5,4988.75,4658.75,4081.25,3222.5,2163.75,1386.25,843.75,547.5,422.5
Bukit Timah,1580.0,2371.25,2433.75,2378.75,2311.25,2156.25,2033.75,2621.25,3087.5,3140.0,2853.75,2332.5,2035.0,1578.75,1192.5,795.0,532.5,448.75
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,72.5,83.75,75.0,58.75,50.0,51.25,77.5,93.75,97.5,81.25,58.75,41.25,38.75,30.0,23.75,11.25,12.5,11.25
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,5013.75,5552.5,5858.75,6310.0,6203.75,6412.5,6878.75,7058.75,6990.0,6977.5,6405.0,5152.5,3751.25,2448.75,1557.5,945.0,608.75,450.0
Clementi,2042.5,2352.5,2385.0,2497.5,2796.25,3293.75,3430.0,3671.25,3683.75,3760.0,3551.25,3077.5,2905.0,2360.0,1738.75,1073.75,677.5,517.5
Downtown Core,70.0,75.0,63.75,72.5,85.0,143.75,170.0,181.25,177.5,161.25,150.0,131.25,125.0,96.25,81.25,53.75,31.25,45.0
Geylang,2520.0,2927.5,3066.25,3280.0,3621.25,4320.0,4371.25,4562.5,4637.5,4575.0,4461.25,4051.25,3685.0,2862.5,2161.25,1453.75,987.5,803.75
