planning_area,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,condominiums_and_other_apartments,landed_properties,others,total_hdb,total
Ang Mo Kio,11307.5,67050.0,46210.0,21330.0,11130.0,15835.0,1385.0,145890.0,174245.0
Bedok,9097.5,63910.0,72867.5,48712.5,42617.5,45390.0,2962.5,195590.0,286557.5
Bishan,937.5,5770.0,31952.5,26930.0,11735.0,11027.5,592.5,66465.0,89822.5
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Bukit Batok,1935.0,30035.0,52707.5,30025.0,21590.0,4910.0,840.0,114700.0,142035.0
Bukit Merah,23285.0,46060.0,43552.5,29100.0,8780.0,457.5,1945.0,141995.0,153165.0
Bukit Panjang,1162.5,8915.0,52962.5,45645.0,13795.0,2985.0,185.0,108685.0,125647.5
Bukit Timah,47.5,1125.0,2915.0,3767.5,29942.5,32332.5,1092.5,8372.5,71740.0
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
Changi,0.0,372.5,0.0,5.0,27.5,337.5,1167.5,377.5,1907.5
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,2562.5,5172.5,75167.5,70077.5,13762.5,2005.0,382.5,152972.5,169125.0
Clementi,2347.5,31527.5,26562.5,11787.5,12097.5,5887.5,1415.0,72222.5,91617.5
Downtown Core,85.0,1195.0,1012.5,20.0,1045.0,2.5,455.0,2307.5,3812.5
Geylang,9652.5,32755.0,32922.5,16242.5,15077.5,6985.0,2322.5,92285.0,116667.5
Hougang,3197.5,27345.0,87547.5,54360.0,17847.5,22230.0,3577.5,174012.5,217660.0
Jurong East,1127.5,19990.0,27585.0,29042.5,6982.5,0.0,470.0,77742.5,85197.5
Jurong West,5112.5,34212.5,101900.0,95205.0,10857.5,4052.5,585.0,236430.0,251915.0
Kallang,12115.0,29907.5,24445.0,14010.0,14620.0,1617.5,1857.5,80475.0,98570.0
Lim Chu Kang,0.0,37.5,30.0,0.0,0.0,0.0,40.0,65.0,152.5
Mandai,0.0,0.0,0.0,0.0,977.5,712.5,77.5,0.0,1767.5
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,3377.5,7320.0,5592.5,5847.5,14567.5,9657.5,630.0,22277.5,47132.5
Museum,0.0,27.5,0.0,0.0,295.0,5.0,45.0,27.5,375.0
Newton,17.5,5.0,0.0,0.0,6027.5,627.5,210.0,20.0,6882.5
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
Novena,1880.0,8365.0,7152.5,4927.5,15607.5,7502.5,1172.5,22415.0,46700.0
Orchard,0.0,0.0,0.0,0.0,682.5,0.0,127.5,0.0,810.0
Outram,6360.0,6537.5,4162.5,1435.0,1515.0,7.5,552.5,18545.0,20620.0
Pasir Ris,675.0,352.5,40505.0,64460.0,20777.5,7047.5,572.5,105992.5,134385.0
Paya Lebar,0.0,0.0,0.0,0.0,0.0,7.5,27.5,0.0,70.0
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
Punggol,3530.0,5267.5,34772.5,35542.5,6452.5,267.5,130.0,79110.0,85957.5
Queenstown,8422.5,38602.5,22122.5,13262.5,10045.0,3670.0,1465.0,82410.0,97585.0
River Valley,0.0,0.0,0.0,0.0,8140.0,907.5,165.0,0.0,9210.0
Rochor,972.5,5467.5,4720.0,697.5,1885.0,252.5,1335.0,11857.5,15327.5
Seletar,0.0,0.0,0.0,0.0,0.0,252.5,82.5,0.0,335.0
Sembawang,2267.5,1537.5,26815.0,32845.0,3647.5,3235.0,545.0,63465.0,70890.0
Sengkang,3512.5,5042.5,70282.5,77355.0,12837.5,1492.5,577.5,156195.0,171100.0
Serangoon,795.0,11907.5,36180.0,22987.5,13100.0,34685.0,1040.0,72370.0,121192.5
Simpang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore River,0.0,0.0,0.0,0.0,2032.5,0.0,170.0,0.0,2202.5
Southern Islands,0.0,0.0,0.0,0.0,632.5,362.5,17.5,0.0,1015.0
Straits View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0,0.0,0.0,665.0,185.0,0.0,850.0
Tampines,3392.5,36310.0,105382.5,87735.0,19850.0,4590.0,1167.5,233392.5,258995.0
Tanglin,0.0,45.0,220.0,265.0,12822.5,4270.0,332.5,532.5,17955.0
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5
Toa Payoh,10490.0,41042.5,30575.0,23185.0,7707.5,5817.5,1660.0,107985.0,123170.0
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,747.5,0.0,747.5
Woodlands,5755.0,18077.5,101530.0,98832.5,9225.0,525.0,855.0,224197.5,234800.0
Yishun,3452.5,39430.0,96132.5,42972.5,8875.0,4742.5,905.0,181982.5,196500.0
