planning_area,employed,unemployed,inactive
Ang Mo Kio,45563.5,2655.0,27095.875
Bedok,70324.875,3731.75,42263.875
Bishan,23282.125,1101.5,13204.0
Boon Lay,0.0,0.0,0.0
Bukit Batok,37627.125,2165.125,19869.0
Bukit Merah,38719.625,2093.375,23913.875
Bukit Panjang,33514.125,1681.625,17141.5
Bukit Timah,16785.0,628.5,10638.625
Central Water Catchment,0.0,0.0,0.0
Changi,203.0,8.25,97.375
Changi Bay,0.0,0.0,0.0
Choa Chu Kang,45166.875,2184.25,22894.5
Clementi,22965.5,1152.375,13709.0
Downtown Core,760.75,33.0,442.125
Geylang,29536.0,1600.0,17064.0
Hougang,56578.125,2787.0,30645.5
Jurong East,21971.875,1190.625,12442.625
Jurong West,67642.5,3314.375,33290.875
Kallang,25355.875,1446.375,14855.0
Lim Chu Kang,0.0,0.0,0.0
Mandai,133.5,5.166666666666667,78.0
Marina East,0.0,0.0,0.0
Marina South,0.0,0.0,0.0
Marine Parade,10488.875,541.125,7252.5
Museum,0.0,0.0,0.0
Newton,636.375,24.5,458.875
North-Eastern Islands,0.0,0.0,0.0
Novena,11404.875,521.875,6644.75
Orchard,0.0,0.0,0.0
Outram,5003.5,253.875,3166.125
Pasir Ris,34944.5,1717.625,17718.875
Paya Lebar,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0
Punggol,31273.333333333332,1369.0,11476.166666666666
Queenstown,23536.625,1362.875,15367.0
River Valley,1653.625,72.875,955.25
Rochor,1918.375,91.75,1286.75
Seletar,0.0,0.0,0.0
Sembawang,19552.625,922.0,8135.375
Sengkang,47166.625,2030.0,19996.875
Serangoon,31411.125,1451.5,18595.375
Simpang,0.0,0.0,0.0
Singapore River,150.0,1.0,77.5
Southern Islands,0.0,0.0,0.0
Straits View,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0
Tampines,67326.75,3508.375,36371.0
Tanglin,4117.75,129.25,2498.0
Tengah,0.0,0.0,0.0
Toa Payoh,31082.75,1793.5,18952.625
Tuas,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0
Woodlands,60562.0,3271.0,30373.5
Yishun,52012.125,2924.0,26200.0
