planning_area,pre_primary,primary,secondary,post_secondary,polytechnic,prof_qualification_diploma,university
Ang Mo Kio,2552.75,11249.25,8158.75,2339.75,3003.5,330.5,3142.5
Bedok,3828.0,19439.5,14547.25,3989.5,5111.0,651.5,6048.0
Bishan,1474.5,6762.75,4662.0,1561.25,1600.5,245.0,2552.25
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,2279.75,10590.75,8475.5,2381.75,2877.25,449.5,3293.0
Bukit Merah,1955.0,8633.75,5807.25,1743.25,2147.25,272.25,2320.75
Bukit Panjang,2379.25,10625.25,7636.0,1949.25,2976.5,330.0,2646.0
Bukit Timah,1294.75,5843.5,4051.25,1503.25,614.75,128.5,2391.0
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,24.25,78.0,51.25,7.75,11.25,1.75,3.0
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,3276.25,14480.5,11298.0,2856.5,4213.5,531.0,3966.5
Clementi,1345.0,5851.25,3929.5,1184.25,1252.25,197.75,1819.25
Downtown Core,23.0,102.5,85.0,27.25,33.25,3.25,47.5
Geylang,1682.75,7154.5,5407.5,1403.25,1779.5,248.5,2008.0
Hougang,3324.0,15692.0,12440.25,3223.5,4588.25,548.0,4845.75
Jurong East,1218.75,6207.5,4494.5,1268.25,1471.75,189.0,1716.75
Jurong West,4769.0,20788.75,15268.0,4007.75,5278.5,602.0,4428.75
Kallang,1264.75,5402.0,4351.5,1080.5,1354.5,262.5,1465.5
Lim Chu Kang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandai,10.666666666666666,30.0,44.333333333333336,6.333333333333333,8.333333333333334,0.0,8.333333333333334
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,746.75,2988.0,2070.5,614.75,502.5,99.0,961.5
Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newton,42.25,231.25,149.0,39.5,24.0,7.5,46.25
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novena,688.75,3214.75,2124.5,603.5,522.0,89.5,900.25
Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outram,212.25,952.5,563.75,138.25,253.75,24.0,271.25
Pasir Ris,2586.75,11511.0,8771.25,2237.0,3548.5,483.75,3508.75
Paya Lebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punggol,3002.6666666666665,10234.333333333334,5174.666666666667,1067.0,1700.6666666666667,222.66666666666666,1410.3333333333333
Queenstown,1267.75,5413.25,3761.25,1218.0,1260.25,144.5,1734.0
River Valley,106.75,513.0,308.0,119.0,38.5,10.5,153.0
Rochor,95.5,408.75,347.75,89.25,126.0,25.25,112.5
Seletar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sembawang,1424.75,6034.0,3827.75,866.0,1562.75,150.25,1419.5
Sengkang,3772.0,15474.75,9674.75,2106.0,3578.0,472.25,2848.25
Serangoon,1648.0,8522.25,6584.25,1962.0,2004.75,254.75,3400.0
Simpang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore River,11.333333333333334,29.0,15.0,4.666666666666667,0.0,0.0,9.0
Southern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Straits View,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampines,4170.0,19702.0,14927.25,3979.0,5707.5,737.25,5452.5
Tanglin,232.5,1433.75,809.75,295.25,52.25,31.25,403.5
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toa Payoh,1557.0,7494.5,5581.75,1422.25,2167.0,262.75,2182.0
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodlands,4552.5,19835.5,15431.25,3890.25,5453.5,716.5,3599.75
Yishun,3350.25,14793.5,10815.75,2833.0,3874.5,491.0,3142.75
