planning_area,chinese,malays,indian,others
Ang Mo Kio,71056.375,6430.0,6819.375,1788.625
Bedok,102419.0,22471.5,11759.75,5206.625
Bishan,38234.5,2015.875,3491.375,1172.25
Boon Lay,0.0,0.0,0.0,0.0
Bukit Batok,50480.375,10634.125,6708.125,1678.375
Bukit Merah,59424.375,5556.875,7094.875,1890.125
Bukit Panjang,46186.0,9959.875,4378.25,1267.0
Bukit Timah,27531.625,292.25,1544.0,2312.625
Central Water Catchment,0.0,0.0,0.0,0.0
Changi,442.1666666666667,278.8333333333333,191.33333333333334,44.0
Changi Bay,0.0,0.0,0.0,0.0
Choa Chu Kang,60241.375,14979.625,7427.5,1917.625
Clementi,33916.375,5220.0,3633.625,1382.0
Downtown Core,1266.6666666666667,13.333333333333334,118.66666666666667,136.5
Geylang,43434.875,6999.0,4620.625,1551.0
Hougang,87858.25,9026.375,8228.375,2114.75
Jurong East,28828.375,6555.125,4100.125,813.25
Jurong West,85875.875,22332.625,11863.125,2657.125
Kallang,36525.5,3631.0,6732.875,1163.5
Lim Chu Kang,25.0,0.0,0.0,0.0
Mandai,840.0,55.0,127.5,30.0
Marina East,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0
Marine Parade,16969.25,1776.75,2773.25,1084.625
Museum,145.0,0.0,17.5,57.5
Newton,2443.3333333333335,27.166666666666668,360.3333333333333,576.0
North-Eastern Islands,0.0,0.0,0.0,0.0
Novena,17943.0,897.0,1929.75,1086.5
Orchard,310.0,2.5,40.0,107.5
Outram,7339.125,669.0,664.25,197.5
Pasir Ris,45069.25,13270.25,5372.75,2397.125
Paya Lebar,0.0,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0,0.0
Punggol,43972.5,7900.0,3952.0,1411.1666666666667
Queenstown,37037.625,4278.375,3756.875,1625.875
River Valley,3204.8333333333335,41.5,648.8333333333334,676.1666666666666
Rochor,5071.5,295.0,1395.8333333333333,217.66666666666666
Seletar,87.5,0.0,15.0,32.5
Sembawang,24165.75,5037.75,3098.25,1315.0
Sengkang,63771.25,9062.625,6939.0,2002.625
Serangoon,50937.125,2830.125,5366.5,1462.625
Simpang,0.0,0.0,0.0,0.0
Singapore River,893.3333333333334,9.666666666666666,107.0,277.6666666666667
Southern Islands,452.5,15.0,85.0,300.0
Straits View,0.0,0.0,0.0,0.0
Sungei Kadut,310.0,0.0,45.0,12.5
Tampines,83597.625,27618.875,9713.5,3622.5
Tanglin,7228.333333333333,102.33333333333333,953.3333333333334,1404.8333333333333
Tengah,0.0,0.0,0.0,0.0
Toa Payoh,49335.0,4708.5,4434.25,1487.25
Tuas,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0
Western Water Catchment,310.0,0.0,40.0,32.5
Woodlands,71428.625,29063.75,12374.125,2583.875
Yishun,67156.875,16545.625,9943.5,2358.875
