planning_area,total,below_sgd_1000,no_working_person,sgd_10000_over,sgd_10000_to_10999,sgd_11000_to_11999,sgd_1000_to_1999,sgd_12000_to_12999,sgd_13000_to_13999,sgd_14000_to_14999,sgd_15000_to_17499,sgd_17500_to_19999,sgd_20000_over,sgd_2000_to_2999,sgd_3000_to_3999,sgd_4000_to_4999,sgd_5000_to_5999,sgd_6000_to_6999,sgd_7000_to_7999,sgd_8000_over,sgd_8000_to_8999,sgd_9000_to_9999
Ang Mo Kio,59156.5,3787.75,7155.5,3034.25,1111.75,898.75,5814.0,740.75,656.25,714.0,1215.25,960.25,3141.5,5359.0,5061.25,4255.0,3745.25,3038.5,2787.0,2198.25,1813.0,1644.25
Bedok,88952.5,4600.5,9490.25,6320.25,1497.75,1421.25,7207.75,1480.0,1291.0,959.5,2070.0,1712.25,8056.25,6638.5,6685.75,5865.0,5579.75,4737.0,3791.75,4222.75,2915.5,2459.75
Bishan,27413.75,891.75,2466.75,2566.0,450.75,595.75,1304.5,525.0,513.5,426.25,775.25,847.25,3091.0,1413.75,1606.5,1544.75,1517.0,1506.25,1338.75,2076.25,1035.0,896.75
Bukit Batok,44671.0,1392.5,3508.75,3272.0,1000.75,996.75,3266.75,801.0,660.0,768.75,1265.75,859.25,3110.5,3549.75,3593.75,3296.5,2926.25,2838.75,2368.0,1804.0,1846.25,1520.25
Bukit Merah,54251.0,4554.0,8388.75,2671.25,928.0,787.0,5682.75,784.0,684.25,765.0,1357.25,906.25,3287.0,4345.0,3716.75,3152.0,2886.25,2518.75,2296.75,1724.0,1442.0,1349.0
Bukit Panjang,36822.25,944.75,2237.25,2330.0,1011.5,789.0,2233.75,877.5,727.5,586.5,1195.75,872.75,2439.75,2919.75,2967.75,2765.25,2619.5,2470.75,2324.0,1209.0,1816.75,1508.5
Bukit Timah,21495.5,667.0,2339.5,3159.75,379.25,238.25,454.0,295.5,211.25,242.75,612.25,750.5,5443.5,508.25,539.25,511.75,556.25,528.0,621.0,2604.0,471.25,312.25
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,352.6666666666667,17.666666666666668,10.333333333333334,49.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,45.0,54.333333333333336,41.333333333333336,23.666666666666668,10.666666666666666,13.333333333333334,14.0,12.666666666666666
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,48273.5,1006.0,2304.75,3224.75,1333.25,1229.75,2511.75,928.75,1043.5,1041.75,1931.5,1231.0,2715.75,3684.5,3861.5,3770.75,3606.5,3306.75,3076.25,1685.25,2474.75,2280.25
Clementi,30601.5,1631.25,3552.75,2086.0,574.75,498.25,2203.25,426.5,410.25,350.5,865.25,610.25,2628.25,2298.25,2203.75,1925.25,1974.0,1709.75,1383.0,1517.75,971.5,855.75
Downtown Core,1467.0,114.0,124.33333333333333,115.33333333333333,17.666666666666668,15.666666666666666,128.33333333333334,17.666666666666668,14.0,5.333333333333333,34.0,23.333333333333332,210.66666666666666,94.33333333333333,96.66666666666667,102.33333333333333,86.66666666666667,74.33333333333333,52.666666666666664,64.0,44.333333333333336,31.333333333333332
Geylang,38559.75,2774.75,4497.0,1970.25,865.25,624.25,3744.0,439.25,413.5,478.0,938.75,633.5,2054.25,3467.0,3243.5,2694.0,2364.75,2135.5,1590.75,1270.5,1311.5,1050.0
Hougang,64122.25,2363.0,4740.25,3712.5,1441.75,1161.0,4838.25,1208.5,1099.25,854.75,1768.25,1462.0,4190.5,5539.75,5476.5,4832.0,4401.5,4120.75,3329.0,2600.0,2754.0,2253.75
Jurong East,25973.5,915.0,2381.5,1535.75,549.25,455.5,1777.5,504.5,276.5,264.75,704.0,447.0,1300.5,2302.75,2291.5,2098.0,1902.0,1670.0,1529.5,1183.25,934.25,926.0
Jurong West,74823.75,2187.5,4767.25,3858.5,1869.25,1889.0,5276.75,1614.25,1659.25,1078.0,2312.25,1401.75,3227.5,6032.0,6642.5,6304.0,5532.0,5448.0,4909.0,1926.75,3664.75,3273.5
Kallang,35455.25,2888.0,4915.5,1779.25,748.5,653.0,3454.5,626.25,504.25,342.0,708.25,588.0,2510.5,2895.0,2628.75,2191.0,1810.75,1732.75,1447.75,1023.5,1065.5,942.5
Lim Chu Kang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandai,244.5,0.0,37.0,124.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,16.0,6.5,15.5,0.0,26.5,3.0
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,15255.5,930.5,2320.25,1417.75,217.0,231.5,861.25,216.5,151.0,138.25,343.25,290.25,2092.5,888.0,860.25,699.5,629.0,671.5,469.25,1048.0,391.75,363.0
Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
