planning_area,no_literate,l1_chi,l1_eng,l1_mal,l1_tam,l1_non_off,l2_eng_chi,l2_eng_mal,l2_eng_tam,l2_other_two,l3_eng_chi_mal,l3_eng_mal_tam,l3_other_three,l2_eng_non_off
Ang Mo Kio,9657.25,31971.0,17941.0,1850.0,704.0,245.75,63916.5,10456.25,5176.0,415.25,2825.25,550.5,938.75,1974.25
Bedok,10370.75,36625.25,31274.5,5507.25,444.0,368.0,91237.25,35674.0,4188.0,650.0,3886.75,430.25,2395.0,4838.0
Bishan,2302.5,9521.25,12929.25,331.0,174.75,52.0,37710.25,4397.25,2851.5,171.75,1392.75,259.0,665.5,1132.75
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,4274.5,18132.75,11916.0,2422.75,391.0,130.25,51466.5,15542.0,4685.75,440.75,3175.75,414.75,1137.5,2588.25
Bukit Merah,9744.25,26382.75,14191.75,1666.5,1114.75,202.25,55007.75,7890.0,4898.25,317.75,1738.75,535.0,844.25,2636.0
Bukit Panjang,4058.0,17472.5,8363.75,1753.25,222.5,153.75,47916.5,15362.75,2865.5,375.75,1826.75,324.5,720.5,1496.25
Bukit Timah,710.25,3987.0,12878.25,60.25,28.25,27.75,29573.25,2343.0,580.25,66.5,1075.25,68.0,931.25,1859.0
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,30.75,53.0,73.5,15.5,5.75,4.0,134.25,165.75,59.0,3.5,29.25,19.5,18.25,5.0
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,3975.75,20522.75,11478.25,2305.75,437.5,145.0,62030.75,22409.25,5656.5,468.75,3243.0,545.5,1084.0,3033.5
Clementi,3655.5,11838.25,9732.75,1528.25,291.25,127.5,33101.75,7764.0,2257.25,179.75,1434.5,225.75,711.75,1570.75
Downtown Core,119.25,570.75,312.0,4.0,17.25,4.0,1109.75,71.5,23.75,10.75,52.5,4.75,40.25,92.0
Geylang,6264.0,19303.75,8832.25,2047.25,445.75,215.0,39064.0,11491.25,2181.5,395.25,1742.5,226.5,784.75,1679.75
Hougang,8084.0,33194.75,20707.25,1639.75,606.5,223.5,85329.5,14715.75,5514.5,446.25,2737.25,541.25,1166.25,2034.0
Jurong East,3271.25,13159.75,6871.0,1627.75,363.5,101.0,27334.0,9965.25,3573.25,239.75,1575.75,316.0,675.25,1079.5
Jurong West,8107.25,37763.25,15693.25,4885.5,930.5,353.25,81967.25,31493.0,9306.0,998.0,6392.75,834.25,1450.0,3648.5
Kallang,5874.5,16618.75,8863.5,1128.25,982.5,240.75,33441.5,5141.5,4008.0,294.25,1283.75,296.75,797.75,2438.0
Lim Chu Kang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandai,14.666666666666666,55.666666666666664,60.666666666666664,0.0,0.0,0.0,207.0,25.666666666666668,32.666666666666664,0.0,7.333333333333333,6.333333333333333,13.0,10.333333333333334
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,1238.25,4097.5,7230.75,488.5,46.5,110.5,15707.75,3482.5,526.5,74.0,575.25,90.5,545.25,1401.75
Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newton,22.5,139.0,772.75,4.75,5.75,6.0,680.0,123.75,18.5,12.25,60.5,3.25,181.0,209.25
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novena,1469.5,4917.5,6516.25,193.75,168.5,84.0,17070.0,2156.75,989.75,111.5,617.25,123.0,425.0,1159.75
Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outram,1838.75,4397.0,1443.5,160.5,205.0,19.5,6457.25,945.75,459.0,51.25,232.75,28.0,98.5,216.25
Pasir Ris,2143.25,10352.75,13624.75,1283.75,175.0,75.0,47943.0,22606.5,2308.75,260.25,1848.0,284.0,1002.75,2077.5
Paya Lebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punggol,1958.6666666666667,8948.666666666666,8054.333333333333,646.3333333333334,90.66666666666667,195.66666666666666,47635.333333333336,10660.0,2178.3333333333335,264.3333333333333,2310.0,119.33333333333333,453.0,2227.3333333333335
Queenstown,4950.5,13661.0,11442.25,1280.25,432.5,138.0,33164.0,6562.25,2405.5,216.25,1554.25,317.5,798.75,2058.5
River Valley,55.25,361.0,1341.75,5.0,0.0,11.25,2097.25,265.5,38.75,11.0,214.25,3.25,228.75,539.5
Rochor,587.75,1657.75,741.5,34.25,214.5,20.25,2312.0,185.0,501.75,22.75,89.0,56.75,104.5,65.5
Seletar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
