planning_area,manufacturing,construction,wholesale_retail_trade,transportation_storage,accommodation_food_services,information_communications,financial_insurance_services,real_estate_services,professional_services,admin_support_services,public_admin_education,health_social_services,arts_entertainment_recreation,other_comm_social_personal,others,hotels_restaurants,transport_communications,business_services,other_services_industries
Ang Mo Kio,11603.25,5233.5,14966.75,5323.5,5699.75,3072.25,6234.0,1795.25,4734.0,4336.0,8560.0,3844.75,1279.75,2696.0,818.5,1603.75,2388.25,2614.25,4323.75
Bedok,15116.5,6058.25,23779.0,11142.0,7046.25,5506.25,12669.25,3031.0,9413.5,6120.75,13463.25,5281.25,1541.75,3394.0,1190.0,1908.0,4195.25,3944.75,5824.5
Bishan,5016.0,1760.0,7648.5,2097.0,1841.0,1998.75,4471.75,922.0,3704.25,1513.0,5747.0,2201.5,564.5,998.5,403.0,534.0,1106.75,1657.75,2379.0
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,11793.75,4136.0,11986.75,5108.75,3240.25,2546.0,4293.5,1567.75,4908.0,3279.5,8452.25,3230.25,965.0,1788.5,936.75,726.75,1525.0,1903.0,2841.75
Bukit Merah,7025.0,2786.0,12912.0,5042.0,5110.5,2812.0,6853.5,1763.0,4694.25,4496.75,6897.25,3375.5,1303.0,1939.5,551.5,1702.25,2111.75,2636.25,3427.25
Bukit Panjang,9966.75,3707.75,11260.5,5334.25,3186.5,2055.25,3803.0,1318.25,3602.0,3108.75,8145.25,2882.5,917.25,1612.5,979.5,594.5,1201.5,1259.0,2068.25
Bukit Timah,3084.75,830.5,5392.25,1001.75,608.5,1331.0,4741.25,800.5,3519.25,648.5,4380.75,2369.25,323.5,542.75,236.25,169.0,441.0,1374.25,1774.25
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,18.5,4.5,48.25,28.75,18.0,0.0,7.25,3.0,4.75,15.0,157.0,6.25,0.0,3.5,3.0,19.5,7.25,11.25,50.0
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,15591.0,5049.5,14568.5,6894.0,3767.0,2636.75,4954.0,1591.75,5216.5,3777.25,10504.0,3899.0,1065.0,2018.25,1314.5,723.0,1847.25,1961.25,2954.5
Clementi,5742.75,1698.75,7066.0,2786.0,1914.25,1589.0,3563.25,876.25,3266.75,1905.75,5546.5,2024.75,535.25,1014.0,449.5,620.5,1230.25,1620.0,2532.25
Downtown Core,96.5,40.25,301.75,55.0,53.5,71.75,254.25,39.0,126.25,39.0,75.25,29.0,19.25,21.0,5.75,73.75,69.25,77.75,73.0
Geylang,6493.75,3587.75,9915.25,3940.25,3830.25,2145.75,4688.25,1308.5,3253.0,2982.75,5211.0,2081.75,873.75,1646.0,483.75,1044.5,1551.75,1636.5,2372.75
Hougang,13516.0,6845.0,20283.0,8245.75,5807.75,3639.5,8254.25,2239.75,6298.0,4513.5,11961.75,4618.5,1484.75,3012.25,1051.75,1353.75,2906.75,2747.25,4426.75
Jurong East,7957.0,2059.25,6883.5,3204.0,1843.5,1032.25,2377.5,778.25,2458.5,1958.25,4346.75,1699.5,628.5,1106.0,573.75,589.5,1192.0,1313.75,1943.0
Jurong West,28593.5,7652.5,22221.75,11369.25,6390.75,3376.75,6091.0,2146.25,7446.0,6071.5,12975.25,4232.5,1652.0,2853.75,1839.75,1295.75,2540.5,2579.5,3981.75
Kallang,4923.75,2305.5,9445.0,2892.0,3502.0,1883.75,4528.75,1191.5,3237.25,2757.0,4002.75,1972.75,913.25,1250.75,426.5,956.0,1219.75,1410.75,1892.5
Lim Chu Kang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandai,53.666666666666664,8.333333333333334,54.333333333333336,12.666666666666666,6.333333333333333,15.333333333333334,19.666666666666668,2.0,8.333333333333334,18.666666666666668,52.666666666666664,6.333333333333333,0.0,6.666666666666667,2.3333333333333335,0.0,0.0,0.0,0.0
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,1676.75,637.5,3782.25,1031.75,851.0,950.5,3006.5,469.0,1533.0,758.25,1978.25,957.0,240.0,431.25,99.5,235.25,499.75,826.25,989.25
Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newton,110.5,24.25,228.0,22.0,28.0,37.25,231.75,37.25,91.5,22.75,54.25,36.0,5.75,15.5,8.75,21.25,45.0,132.0,120.5
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novena,1740.75,920.75,3730.25,1047.25,1128.75,965.75,2791.5,588.75,1859.0,715.25,2301.75,1245.25,371.25,619.0,190.75,327.25,449.25,767.0,1075.75
Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outram,761.5,341.5,1777.5,630.25,891.0,325.25,948.75,229.0,569.25,659.0,654.25,317.25,104.25,255.25,47.5,360.0,269.75,400.75,439.75
Pasir Ris,8428.75,2898.75,10408.0,7576.0,2451.25,2626.75,5892.5,1408.0,4046.0,2493.5,9212.25,2811.0,849.75,1501.5,547.75,541.25,2182.25,1676.0,2362.75
Paya Lebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punggol,6339.666666666667,2584.3333333333335,10139.333333333334,6239.0,3021.6666666666665,3502.3333333333335,5754.333333333333,1602.3333333333333,5158.666666666667,2520.6666666666665,8830.333333333334,3137.6666666666665,1108.0,2041.3333333333333,600.3333333333334,0.0,0.0,0.0,0.0
Queenstown,4669.0,1623.75,7375.25,3249.75,2528.5,1875.25,4220.75,1084.75,3270.75,2103.25,5129.5,1824.25,576.5,1043.5,405.5,907.5,1205.75,1686.25,2344.0
River Valley,223.25,58.5,516.0,96.5,84.5,131.25,711.5,79.5,376.75,64.75,249.25,126.75,27.5,29.0,15.5,26.0,80.5,220.5,189.75
Rochor,386.5,170.5,899.5,121.5,229.5,75.5,248.75,51.0,139.25,105.25,174.5,73.25,32.5,74.25,26.5,261.25,193.0,262.25,312.25
Seletar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sembawang,6021.5,2309.75,6282.75,2818.0,2084.25,1644.75,2551.5,651.25,2411.0,1796.25,4687.25,2171.5,652.25,1094.0,499.0,194.25,340.25,330.0,565.75
Sengkang,10391.25,4688.75,15865.5,8828.0,4962.25,4739.0,8069.25,2067.75,6299.0,4020.0,11825.25,4662.0,1593.0,2449.25,946.0,334.25,856.0,655.0,1032.75
Serangoon,6901.25,3171.5,11072.5,3539.5,2409.0,2312.5,5636.0,1355.5,4323.5,2118.5,7186.25,2888.75,691.0,1497.0,582.0,677.5,1584.75,1896.0,2954.75
Simpang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore River,20.0,0.0,61.333333333333336,2.0,8.666666666666666,25.333333333333332,73.33333333333333,17.0,46.333333333333336,4.0,20.333333333333332,8.666666666666666,4.666666666666667,0.0,7.666666666666667,0.0,0.0,0.0,0.0
Southern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Straits View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampines,15466.5,5674.0,20329.25,13813.25,6384.5,5369.25,10898.5,2680.75,6615.0,5943.75,15180.5,5498.75,1848.75,2909.75,1302.25,1607.5,4820.75,3265.75,5069.5
Tanglin,637.0,86.25,1417.75,164.25,218.25,300.25,1765.25,247.5,1038.25,148.5,682.25,552.25,73.0,78.75,34.0,38.5,98.5,326.75,304.0
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toa Payoh,6491.25,2813.75,10329.25,3894.0,3909.0,2121.5,5087.5,1438.75,3841.5,3115.75,5882.25,2781.75,863.25,1901.5,509.5,1116.5,1520.0,1823.25,2725.5
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodlands,21845.5,8164.0,18179.0,9078.25,6168.75,3120.5,6007.75,2109.5,5875.0,5557.5,13061.75,5172.75,1688.0,2985.75,1454.5,1324.75,2481.25,2446.25,4428.0
Yishun,14579.0,6813.25,16490.75,7754.75,6272.5,2925.25,5880.0,2069.25,5182.0,4934.75,10503.25,5203.0,1479.0,2763.25,1177.0,1382.75,2315.75,2287.75,4011.0
