planning_area,english,mandarin,chinese_dialects,malay,tamil,other_indian_languages,others,eng_mand,eng_chn_dlt,eng_mly,eng_oth_ind_lang,eng_oth_lang,mand_eng,mand_chn_dlt,mand_oth_lang,chn_dlt_eng,chn_dlt_mand,chn_dlt_oth_lang,mly_eng,mly_oth_lang,tml_eng,tml_oth_lang,oth_ind_lang_eng,oth_ind_lang_oth_lang,oth_lang_eng,oth_ind_lang_oth_lang,oth_lang_oth_non_eng_lang,eng_tml
Ang Mo Kio,36190.5,47992.75,29666.25,9490.0,4878.75,603.5,746.25,9152.5,1375.75,1037.0,248.0,332.25,4856.0,3800.0,73.0,540.25,2491.25,180.0,1081.0,28.0,766.75,14.75,153.5,67.75,152.0,67.75,90.5,980.0
Bedok,71975.75,60079.5,31969.75,31438.75,3360.75,1886.75,1366.25,16367.25,2622.0,4067.5,1194.5,624.5,7030.0,4801.5,66.75,788.75,2699.25,206.0,4146.0,51.75,669.5,55.75,348.75,79.0,287.0,79.0,60.25,820.25
Bishan,32274.5,18805.5,10135.0,2483.5,1760.25,358.5,418.0,7916.0,1159.5,558.25,178.0,261.5,2233.75,1340.75,20.0,319.5,768.5,121.25,288.5,21.0,255.5,14.25,40.75,30.75,102.75,30.75,27.5,564.75
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,29115.25,38637.0,13447.25,13305.5,3852.0,1251.0,958.25,9114.75,1354.0,2388.75,456.0,348.5,5570.5,3091.25,35.5,351.0,1504.0,120.0,2721.25,34.75,995.0,27.5,231.0,114.25,161.25,114.25,118.25,953.25
Bukit Merah,28850.0,30610.0,32252.0,6760.25,4919.0,772.75,1245.25,9091.0,1382.75,868.75,268.5,392.25,3833.5,2684.25,21.75,625.75,2290.75,168.75,1016.25,52.75,756.5,36.0,127.25,15.75,199.25,15.75,93.0,953.25
Bukit Panjang,24621.5,37748.5,12704.0,13410.25,1969.0,496.5,502.75,8692.5,771.5,2266.5,262.5,277.25,5331.75,3168.5,47.75,296.25,1437.25,88.5,2584.75,21.25,578.75,25.25,130.25,17.75,152.25,17.75,36.5,871.75
Bukit Timah,34231.0,9249.75,4716.5,379.75,247.5,184.0,715.0,7398.25,1398.5,239.5,281.5,437.0,1843.5,516.5,15.75,259.0,298.0,27.25,52.75,9.0,48.25,3.75,42.0,0.0,192.75,0.0,73.75,143.75
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,231.75,113.0,75.0,172.0,62.75,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
