planning_area,owner,tenant,others
Ang Mo Kio,51543.5,7110.75,477.75
Bedok,78875.75,8993.5,1083.0
Bishan,24911.75,2222.25,280.25
Boon Lay,0.0,0.0,0.0
Bukit Batok,41332.75,2994.75,368.25
Bukit Merah,42449.5,11385.5,415.5
Bukit Panjang,34798.25,1790.25,258.75
Bukit Timah,18014.75,2969.0,536.75
Central Water Catchment,0.0,0.0,0.0
Changi,101.5,111.25,51.75
Changi Bay,0.0,0.0,0.0
Choa Chu Kang,45832.5,2116.25,325.0
Clementi,27333.75,2976.75,266.25
Downtown Core,742.25,319.0,39.25
Geylang,31627.0,6353.5,579.25
Hougang,59838.25,3641.5,642.25
Jurong East,24302.75,1481.5,189.25
Jurong West,69110.0,5164.5,550.25
Kallang,27028.5,7990.75,410.5
Lim Chu Kang,0.0,0.0,0.0
Mandai,142.0,16.333333333333332,4.333333333333333
Marina East,0.0,0.0,0.0
Marina South,0.0,0.0,0.0
Marine Parade,12030.25,2920.5,304.75
Museum,0.0,0.0,0.0
Newton,608.5,305.75,58.5
North-Eastern Islands,0.0,0.0,0.0
Novena,12640.75,2444.75,282.5
Orchard,0.0,0.0,0.0
Outram,4716.0,3183.0,72.75
Pasir Ris,35453.5,2070.5,265.25
Paya Lebar,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0
Punggol,33655.0,1988.6666666666667,159.33333333333334
Queenstown,29641.75,4477.0,438.75
River Valley,1530.75,688.25,143.75
Rochor,2068.5,416.5,71.25
Seletar,0.0,0.0,0.0
Sembawang,19553.0,1212.5,215.25
Sengkang,48891.0,2222.5,269.25
Serangoon,33843.5,2265.5,452.75
Simpang,0.0,0.0,0.0
Singapore River,156.33333333333334,95.0,14.666666666666666
Southern Islands,0.0,0.0,0.0
Straits View,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0
Tampines,71522.5,3722.5,523.0
Tanglin,4262.5,1606.5,229.75
Tengah,0.0,0.0,0.0
Toa Payoh,35622.75,6530.25,377.5
Tuas,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0
Woodlands,62721.25,4787.0,417.0
Yishun,56338.5,3430.5,414.25
