planning_area,bus,mrt,mrt_bus,mrt_car,mrt_other,taxi,car,pvt_chartered_bus,lorry_pickup,motorcycle_scooter,others,no_transport_required,other_combi_mrt_or_bus,mrt_lrt_only,mrt_lrt_and_bus,other_combi_mrt_lrt_or_bus,taxi_pvt_hire_car_only,pvt_chartered_bus_van
Ang Mo Kio,9146.75,1071.25,3033.5,35.25,6.25,31.75,3337.25,2153.5,42.0,91.0,881.5,8364.0,275.0,356.5,1380.75,65.0,23.75,381.75
Bedok,15934.0,1542.25,5579.0,83.75,15.0,57.75,7331.25,5380.0,48.75,184.5,2046.5,10578.0,400.0,621.0,2354.75,197.75,108.5,903.75
Bishan,4361.5,736.5,2321.5,29.5,12.75,25.0,2973.0,2389.75,22.0,39.75,664.0,3325.25,150.0,336.25,1002.5,43.5,29.5,232.75
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,8393.5,1336.75,3315.25,30.0,24.5,16.75,2987.75,2487.0,47.25,91.75,946.25,7570.5,300.0,472.75,1615.75,85.25,35.25,450.0
Bukit Merah,7336.75,784.5,2752.5,10.25,13.5,24.75,2215.25,1997.5,11.25,59.5,471.25,4545.0,225.0,441.25,1221.25,76.5,53.25,555.25
Bukit Panjang,7565.5,287.5,1366.75,9.75,272.75,18.75,2768.0,2037.25,38.75,89.0,2140.5,8176.0,975.0,465.75,1364.5,520.0,25.5,335.5
Bukit Timah,2990.5,59.5,765.0,23.25,0.0,31.0,5167.5,1998.25,5.0,9.75,778.0,1991.75,325.0,249.5,595.75,38.75,56.75,468.0
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,71.0,3.0,10.25,0.0,0.0,6.25,35.5,30.75,0.0,6.25,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,7162.5,2537.75,5858.25,53.5,126.0,10.25,2597.5,2870.75,68.0,157.25,1413.5,12224.0,700.0,772.5,2956.5,454.25,50.25,495.5
Clementi,4935.5,417.25,1201.0,4.75,7.25,11.75,2076.25,1687.5,14.75,41.75,468.25,3204.75,125.0,142.0,727.25,57.0,32.0,340.75
Downtown Core,102.0,23.5,43.75,0.0,0.0,0.0,24.75,24.25,1.25,0.0,6.25,54.5,0.0,13.0,13.5,0.0,0.0,4.0
Geylang,5641.25,849.0,2505.75,11.75,6.25,19.75,1807.75,1748.75,25.5,80.0,567.25,4419.0,150.0,474.25,981.5,46.5,21.0,264.75
Hougang,14319.0,1032.5,4501.0,32.75,25.25,57.0,4803.25,3748.75,76.25,128.0,1255.75,10616.25,525.0,444.25,2317.25,134.5,73.0,403.0
Jurong East,5642.0,430.5,1710.5,12.0,3.0,14.25,1169.0,1551.5,22.25,53.0,442.5,3898.0,275.0,129.75,846.0,26.25,13.25,181.0
Jurong West,15187.25,1945.5,6628.25,29.5,14.5,39.0,3635.75,3617.0,61.0,196.25,1306.25,16853.5,725.0,641.25,3223.25,218.75,40.25,552.75
Kallang,3907.5,850.0,1704.25,14.5,6.5,19.75,1673.0,1625.75,22.5,37.25,398.25,2985.0,50.0,428.0,946.25,26.75,28.25,378.75
