planning_area,bus,mrt,mrt_bus,mrt_car,mrt_other,taxi,car,pvt_chartered_bus,lorry_pickup,motorcycle_scooter,others,no_transport_required,other_combi_mrt_or_bus,mrt_lrt_only,mrt_lrt_and_bus,other_combi_mrt_lrt_or_bus,taxi_pvt_hire_car_only,pvt_chartered_bus_van
Ang Mo Kio,18380.75,8174.0,14574.0,264.0,196.75,757.25,18259.25,2545.25,2125.0,2937.0,3074.0,7943.25,1100.0,2672.25,6190.0,412.75,551.0,391.75
Bedok,30077.75,8033.25,18953.0,427.0,229.0,1805.0,36146.0,3080.5,2150.25,5284.25,5712.5,11460.5,1500.0,4102.75,8209.0,824.5,1183.0,524.0
Bishan,7200.0,4130.5,7289.25,196.75,108.0,531.75,13663.0,834.0,566.5,878.25,1470.75,2959.5,450.0,1934.0,3230.75,214.75,397.5,118.75
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,12050.0,6965.5,10091.5,243.5,362.0,449.5,17650.5,3036.75,1563.5,2871.5,2446.0,5340.0,925.0,2660.75,6214.0,636.75,527.0,576.75
Bukit Merah,23192.5,5015.5,10346.0,109.5,159.5,950.5,13115.0,1322.0,983.5,2251.5,2541.0,7756.0,675.0,2444.75,4720.25,384.25,782.0,179.25
Bukit Panjang,15090.25,758.75,4876.5,64.75,744.75,465.0,17413.0,2786.25,1768.5,2956.0,4034.25,4426.25,2600.0,1645.25,3906.25,2012.25,430.75,454.5
Bukit Timah,3504.5,527.5,2510.0,216.25,23.75,477.5,18731.5,230.0,143.0,186.0,1192.5,2089.5,425.0,1255.5,1229.5,136.25,375.25,59.25
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,45.5,7.5,38.0,1.5,0.0,4.25,68.0,12.25,0.0,34.75,33.5,160.5,0.0,0.0,0.0,0.0,0.0,0.0
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
