planning_area_id,planning_area,year
114,BEDOK,1998
120,BUKIT TIMAH,1998
117,BUKIT BATOK,1998
118,BUKIT MERAH,1998
121,CENTRAL WATER CATCHMENT,1998
126,DOWNTOWN CORE,1998
122,CHANGI,1998
123,CHANGI BAY,1998
132,LIM CHU KANG,1998
116,BOON LAY,1998
165,WESTERN WATER CATCHMENT,1998
166,WOODLANDS,1998
136,MARINE PARADE,1998
138,NEWTON,1998
139,NORTH-EASTERN ISLANDS,1998
141,ORCHARD,1998
143,PASIR RIS,1998
145,PIONEER,1998
146,PUNGGOL,1998
147,QUEENSTOWN,1998
151,SEMBAWANG,1998
154,SIMPANG,1998
159,TAMPINES,1998
160,TANGLIN,1998
163,TUAS,1998
164,WESTERN ISLANDS,1998
156,SOUTHERN ISLANDS,1998
119,BUKIT PANJANG,1998
115,BISHAN,1998
113,ANG MO KIO,1998
127,GEYLANG,1998
157,STRAITS VIEW,1998
129,JURONG EAST,1998
128,HOUGANG,1998
130,JURONG WEST,1998
124,CHOA CHU KANG,1998
131,KALLANG,1998
133,MANDAI,1998
161,TENGAH,1998
134,MARINA EAST,1998
135,MARINA SOUTH,1998
137,MUSEUM,1998
140,NOVENA,1998
142,OUTRAM,1998
144,PAYA LEBAR,1998
148,RIVER VALLEY,1998
149,ROCHOR,1998
150,SELETAR,1998
152,SENGKANG,1998
153,SERANGOON,1998
125,CLEMENTI,1998
162,TOA PAYOH,1998
155,SINGAPORE RIVER,1998
158,SUNGEI KADUT,1998
167,YISHUN,1998
114,BEDOK,2008
120,BUKIT TIMAH,2008
117,BUKIT BATOK,2008
118,BUKIT MERAH,2008
121,CENTRAL WATER CATCHMENT,2008
126,DOWNTOWN CORE,2008
122,CHANGI,2008
123,CHANGI BAY,2008
132,LIM CHU KANG,2008
116,BOON LAY,2008
165,WESTERN WATER CATCHMENT,2008
166,WOODLANDS,2008
136,MARINE PARADE,2008
138,NEWTON,2008
139,NORTH-EASTERN ISLANDS,2008
141,ORCHARD,2008
143,PASIR RIS,2008
145,PIONEER,2008
146,PUNGGOL,2008
147,QUEENSTOWN,2008
151,SEMBAWANG,2008
154,SIMPANG,2008
159,TAMPINES,2008
160,TANGLIN,2008
163,TUAS,2008
164,WESTERN ISLANDS,2008
156,SOUTHERN ISLANDS,2008
119,BUKIT PANJANG,2008
115,BISHAN,2008
113,ANG MO KIO,2008
127,GEYLANG,2008
157,STRAITS VIEW,2008
129,JURONG EAST,2008
128,HOUGANG,2008
130,JURONG WEST,2008
124,CHOA CHU KANG,2008
131,KALLANG,2008
133,MANDAI,2008
161,TENGAH,2008
134,MARINA EAST,2008
135,MARINA SOUTH,2008
137,MUSEUM,2008
140,NOVENA,2008
142,OUTRAM,2008
144,PAYA LEBAR,2008
148,RIVER VALLEY,2008
149,ROCHOR,2008
150,SELETAR,2008
152,SENGKANG,2008
153,SERANGOON,2008
125,CLEMENTI,2008
162,TOA PAYOH,2008
155,SINGAPORE RIVER,2008
158,SUNGEI KADUT,2008
167,YISHUN,2008
114,BEDOK,2014
120,BUKIT TIMAH,2014
117,BUKIT BATOK,2014
118,BUKIT MERAH,2014
121,CENTRAL WATER CATCHMENT,2014
126,DOWNTOWN CORE,2014
122,CHANGI,2014
123,CHANGI BAY,2014
132,LIM CHU KANG,2014
116,BOON LAY,2014
165,WESTERN WATER CATCHMENT,2014
166,WOODLANDS,2014
136,MARINE PARADE,2014
138,NEWTON,2014
139,NORTH-EASTERN ISLANDS,2014
141,ORCHARD,2014
143,PASIR RIS,2014
145,PIONEER,2014
146,PUNGGOL,2014
147,QUEENSTOWN,2014
151,SEMBAWANG,2014
154,SIMPANG,2014
159,TAMPINES,2014
160,TANGLIN,2014
163,TUAS,2014
164,WESTERN ISLANDS,2014
156,SOUTHERN ISLANDS,2014
119,BUKIT PANJANG,2014
115,BISHAN,2014
113,ANG MO KIO,2014
127,GEYLANG,2014
157,STRAITS VIEW,2014
129,JURONG EAST,2014
128,HOUGANG,2014
130,JURONG WEST,2014
124,CHOA CHU KANG,2014
131,KALLANG,2014
133,MANDAI,2014
161,TENGAH,2014
134,MARINA EAST,2014
135,MARINA SOUTH,2014
137,MUSEUM,2014
140,NOVENA,2014
142,OUTRAM,2014
144,PAYA LEBAR,2014
148,RIVER VALLEY,2014
149,ROCHOR,2014
150,SELETAR,2014
152,SENGKANG,2014
153,SERANGOON,2014
125,CLEMENTI,2014
162,TOA PAYOH,2014
155,SINGAPORE RIVER,2014
158,SUNGEI KADUT,2014
167,YISHUN,2014
114,BEDOK,2019
120,BUKIT TIMAH,2019
117,BUKIT BATOK,2019
118,BUKIT MERAH,2019
121,CENTRAL WATER CATCHMENT,2019
126,DOWNTOWN CORE,2019
122,CHANGI,2019
123,CHANGI BAY,2019
132,LIM CHU KANG,2019
116,BOON LAY,2019
165,WESTERN WATER CATCHMENT,2019
166,WOODLANDS,2019
136,MARINE PARADE,2019
138,NEWTON,2019
139,NORTH-EASTERN ISLANDS,2019
141,ORCHARD,2019
143,PASIR RIS,2019
145,PIONEER,2019
146,PUNGGOL,2019
147,QUEENSTOWN,2019
151,SEMBAWANG,2019
154,SIMPANG,2019
159,TAMPINES,2019
160,TANGLIN,2019
163,TUAS,2019
164,WESTERN ISLANDS,2019
156,SOUTHERN ISLANDS,2019
119,BUKIT PANJANG,2019
115,BISHAN,2019
113,ANG MO KIO,2019
127,GEYLANG,2019
157,STRAITS VIEW,2019
129,JURONG EAST,2019
128,HOUGANG,2019
130,JURONG WEST,2019
124,CHOA CHU KANG,2019
131,KALLANG,2019
133,MANDAI,2019
161,TENGAH,2019
134,MARINA EAST,2019
135,MARINA SOUTH,2019
137,MUSEUM,2019
140,NOVENA,2019
142,OUTRAM,2019
144,PAYA LEBAR,2019
148,RIVER VALLEY,2019
149,ROCHOR,2019
150,SELETAR,2019
152,SENGKANG,2019
153,SERANGOON,2019
125,CLEMENTI,2019
162,TOA PAYOH,2019
155,SINGAPORE RIVER,2019
158,SUNGEI KADUT,2019
167,YISHUN,2019
